ds,y
2016-03-14,56139502720
2016-03-15,60919748492
2016-03-16,50981439521
2016-03-17,61536994835
2016-03-18,53331146526
2016-03-19,30454090559
2016-03-20,27581217669
2016-03-21,53724598065
2016-03-22,68343810987
2016-03-23,41406841611
2016-03-24,18637102396
2016-03-25,44127058003
2016-03-26,34711682104
2016-03-27,25884182053
2016-03-28,57604799181
2016-03-29,69915053320
2016-03-30,54190497986
2016-03-31,56235039868
2016-04-01,46820101771
2016-04-02,19334149535
2016-04-03,36809476025
2016-04-04,39159994241
2016-04-05,52138143683
2016-04-06,32931868430
2016-04-07,46686300237
2016-04-08,39498182030
2016-04-09,22464546117
2016-04-10,16039448288
2016-04-11,66739321887
2016-04-12,63178547929
2016-04-13,68547171212
2016-04-14,73468197438
2016-04-15,77059672997
2016-04-16,62260784347
2016-04-17,65734958795
2016-04-18,89212284617
2016-04-19,71682646045
2016-04-20,74126749413
2016-04-21,75837459106
2016-04-22,56478613787
2016-04-23,51256000582
2016-04-24,67195271546
2016-04-25,93613034251
2016-04-26,62110785288
2016-04-27,46923165492
2016-04-28,63191641324
2016-04-29,63783895751
2016-04-30,13467059010
2016-05-01,26514275966
2016-05-02,76585167414
2016-05-03,91933312252
2016-05-04,69580068283
2016-05-05,81088345686
2016-05-06,99603227075
2016-05-07,46833766963
2016-05-08,57349934668
2016-05-09,58542979894
2016-05-10,51852570358
2016-05-11,85500246467
2016-05-12,87195195770
2016-05-13,81118381830
2016-05-14,37885580306
2016-05-15,46830554358
2016-05-16,95254023396
2016-05-17,76057414409
2016-05-18,95512428115
2016-05-19,104825898990
2016-05-20,94136292233
2016-05-21,78537341659
2016-05-22,82573523513
2016-05-23,112513810399
2016-05-24,122559406423
2016-05-25,88859728758
2016-05-26,116361172334
2016-05-27,90659088561
2016-05-28,68747018192
2016-05-29,71939824990
2016-05-30,80423177315
2016-05-31,80310508223
2016-06-01,90555627209
2016-06-02,129451402924
2016-06-03,127347040846
2016-06-04,71315039963
2016-06-05,92595007714
2016-06-06,126875101267
2016-06-07,123889873302
2016-06-08,126331622790
2016-06-09,102748907702
2016-06-10,125018817909
2016-06-11,88484581652
2016-06-12,82770867744
2016-06-13,127532784138
2016-06-14,128596614756
2016-06-15,132990589036
2016-06-16,124113119800
2016-06-17,135375305845
2016-06-18,103115087870
2016-06-19,83891846762
2016-06-20,124124284782
2016-06-21,144008777663
2016-06-22,101040480492
2016-06-23,129608842305
2016-06-24,133557258337
2016-06-25,102754984040
2016-06-26,80377398865
2016-06-27,131506089862
2016-06-28,138710481078
2016-06-29,145503251161
2016-06-30,136330788347
2016-07-01,127020315413
2016-07-02,81948383685
2016-07-03,72764828764
2016-07-04,78426261935
2016-07-05,132468128752
2016-07-06,110146945775
2016-07-07,116371157564
2016-07-08,136320612854
2016-07-09,113731579093
2016-07-10,100868475521
2016-07-11,136809477571
2016-07-12,142413244494
2016-07-13,114704433898
2016-07-14,145078141144
2016-07-15,128836066933
2016-07-16,113762014772
2016-07-17,84186784028
2016-07-18,142914704595
2016-07-19,151276183051
2016-07-20,145882455318
2016-07-21,121942653574
2016-07-22,128396427176
2016-07-23,73482013798
2016-07-24,69033215665
2016-07-25,140222381330
2016-07-26,151510428492
2016-07-27,150482259830
2016-07-28,123318425063
2016-07-29,121434038195
2016-07-30,99059493412
2016-07-31,105129939615
2016-08-01,146474733126
2016-08-02,148846297179
2016-08-03,150380704734
2016-08-04,139330064786
2016-08-05,135181232830
2016-08-06,107043746409
2016-08-07,94150829587
2016-08-08,143136311777
2016-08-09,152474165140
2016-08-10,147137611422
2016-08-11,140175606019
2016-08-12,86865992699
2016-08-13,97652150497
2016-08-14,95832037648
2016-08-15,102468523588
2016-08-16,147977778748
2016-08-17,141043410703
2016-08-18,121228189680
2016-08-19,131162013499
2016-08-20,76475406195
2016-08-21,101038250149
2016-08-22,151985838273
2016-08-23,155759164647
2016-08-24,123476023048
2016-08-25,141348578470
2016-08-26,147185262458
2016-08-27,81743457352
2016-08-28,98825549835
2016-08-29,134906864833
2016-08-30,116143930605
2016-08-31,156943805421
2016-09-01,145025018179
2016-09-02,140961135426
2016-09-03,86909157710
2016-09-04,81881726834
2016-09-05,86070387745
2016-09-06,141292685082
2016-09-07,137757814966
2016-09-08,136416751936
2016-09-09,131945671234
2016-09-10,89396618764
2016-09-11,101895946108
2016-09-12,152679082129
2016-09-13,155836533023
2016-09-14,157541602842
2016-09-15,158454469719
2016-09-16,146344951590
2016-09-17,102826908478
2016-09-18,103993261717
2016-09-19,154673925618
2016-09-20,159661223133
2016-09-21,117546237140
2016-09-22,155777634722
2016-09-23,145786630659
2016-09-24,102044536683
2016-09-25,98813719851
2016-09-26,144233120580
2016-09-27,148499676914
2016-09-28,88117347780
2016-09-29,117568559248
2016-09-30,106987760217
2016-10-01,53731261126
2016-10-02,69947281807
2016-10-03,134899751369
2016-10-04,151489693239
2016-10-05,156061024713
2016-10-06,73005561047
2016-10-07,144706995674
2016-10-08,89655384450
2016-10-09,85641201115
2016-10-10,129056279958
2016-10-11,147968559469
2016-10-12,87132653845
2016-10-13,128948953103
2016-10-14,132180986687
2016-10-15,89422206822
2016-10-16,75735482700
2016-10-17,142441831979
2016-10-18,153982971867
2016-10-19,141496141149
2016-10-20,123687776897
2016-10-21,105139166605
2016-10-22,78227130380
2016-10-23,77829526166
2016-10-24,125131485702
2016-10-25,124103261681
2016-10-26,59304531695
2016-10-27,112789766205
2016-10-28,128545982756
2016-10-29,92512741278
2016-10-30,64729059626
2016-10-31,121130258532
2016-11-01,148555695976
2016-11-02,96921832616
2016-11-03,130507063409
2016-11-04,135645775482
2016-11-05,90176790672
2016-11-06,88344332897
2016-11-07,133002173055
2016-11-08,119011955356
2016-11-09,117170934161
2016-11-10,119389886960
2016-11-11,92973381654
2016-11-12,62611372079
2016-11-13,57104927321
2016-11-14,113597005332
